id,genres,vote_average,vote_count,title,keywords,score
57158,Adventure Fantasy,7.6,4524,The Hobbit: The Desolation of Smaug,elves dwarves orcs hobbit dragon wizard sword and sorcery,7.415938597681336
254,Adventure Drama Action,6.6,2337,King Kong,film business screenplay show business film making film producer exotic island monster indigenous ship dinosaur,6.759823665729686
597,Drama Romance Thriller,7.5,7562,Titanic,shipwreck iceberg ship panic titanic ocean liner epic rich woman - poor man love disaster tragic love class differences imax star crossed lovers steerage salvage rich snob 3d 1910s,7.394979759785513
271110,Adventure Action Science Fiction,7.1,7241,Captain America: Civil War,civil war war marvel comic sequel superhero based on comic book imax aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,7.072258930533707
44833,Thriller Action Adventure Science Fiction,5.5,2114,Battleship,fight u.s. navy mind reading hong kong soccer scientist fictional war naval armada battleship naval combat jds myoko lost communication taser buoy communications expert joint chiefs of staff crash landing jet fighter pilot navy lieutenant permission to marry uss john paul jones based on board game aftercreditsstinger mighty mo uss missouri,6.180489761635396
135397,Action Adventure Science Fiction Thriller,6.5,8662,Jurassic World,monster dna tyrannosaurus rex velociraptor island sequel suspense disaster escape dinosaur amusement park animal attack theme park jurassic park 3d animal horror,6.58106050568433
37724,Action Adventure Thriller,6.9,7604,Skyfall,spy secret agent sociopath killer art gallery british secret service istanbul turkey imax uzi booby trap impersonating a police officer macao,6.912264650288882
558,Action Adventure Fantasy,6.7,4321,Spider-Man 2,dual identity love of one's life pizza boy marvel comic sequel superhero doctor scientist tentacle death super villain,6.778495914194197
68721,Action Adventure Science Fiction,6.8,8806,Iron Man 3,terrorist war on terror tennessee malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe mandarin 3d war machine iron patriot extremis,6.828150739721143
12155,Family Fantasy Adventure,6.4,4645,Alice in Wonderland,based on novel fictional place queen fantasy alice in wonderland fantasy world 3d,6.559639654176472
36668,Adventure Action Science Fiction Thriller,6.3,3525,X-Men: The Last Stand,mutant marvel comic based on comic book superhuman beast cyclops aftercreditsstinger,6.527252812374191
62211,Animation Family,7.0,3528,Monsters University,monster dormitory games animation best friend university scary aftercreditsstinger,6.987322550292139
8373,Science Fiction Action Adventure,6.0,3138,Transformers: Revenge of the Fallen,egypt sun chaos symbol artifact transformers tank robot imax duringcreditsstinger,6.355752699519278
91314,Science Fiction Action Adventure,5.8,3095,Transformers: Age of Extinction,sequel alien transformers giant robot robot imax transforming robot,6.233382197650249
68728,Fantasy Adventure Family,5.7,3530,Oz: The Great and Powerful,circus witch magic hope illusion lost magic trick wizard 3d,6.13251019556809
102382,Action Adventure Fantasy,6.5,4179,The Amazing Spider-Man 2,obsession marvel comic sequel based on comic book electrocution medical experiment electricity super powers,6.641451080846833
20526,Adventure Action Science Fiction,6.3,2841,TRON: Legacy,artificial intelligence secret identity computer program dystopia computer deception duel motorcycle neon light autocracy,6.56047094368674
49013,Animation Family Adventure Comedy,5.8,2033,Cars 2,car race sequel comedy anthropomorphism best friend duringcreditsstinger,6.352267328069364
44912,Adventure Action Thriller Science Fiction,5.1,2487,Green Lantern,dc comics transformation superhero alien alien infection magical object protector super powers origin 3d,5.891817573840046
10193,Animation Family Comedy,7.6,4597,Toy Story 3,hostage college toy barbie animation escape day care teddy bear duringcreditsstinger toy comes to life personification inanimate objects coming to life toy story,7.418026499345454
534,Action Science Fiction Thriller,5.9,2463,Terminator Salvation,saving the world artificial intelligence prophecy san francisco cyborg killer robot gas station post-apocalyptic dystopia army firearm wartime los angeles,6.354318997044622
168259,Action,7.3,4176,Furious 7,car race speed revenge suspense car race muscle car,7.196988516541589
72190,Action Drama Horror Science Fiction Thriller,6.7,5560,World War Z,dystopia apocalypse zombie nuclear weapons multiple perspectives zombie apocalypse,6.765350310051868
127585,Action Adventure Fantasy Science Fiction,7.5,6032,X-Men: Days of Future Past,1970s mutant time travel marvel comic based on comic book superhuman storm beast aftercreditsstinger changing the past or future,7.374563901947517
54138,Action Adventure Science Fiction,7.4,4418,Star Trek Into Darkness,spacecraft friendship sequel futuristic space alien imax space opera terrorist bombing 3d,7.271588730561942
81005,Action Family Fantasy,5.5,2598,Jack the Giant Slayer,based on fairy tale giant,6.1062500527201635
64682,Drama Romance,7.3,3769,The Great Gatsby,based on novel infidelity obsession hope 3d,7.189511669202791
9543,Adventure Fantasy Action Romance,6.2,2317,Prince of Persia: The Sands of Time,persia sandstorm brother against brother armageddon regent based on video game,6.537557812457942
68726,Action Science Fiction Adventure,6.7,4794,Pacific Rim,dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d,6.77289785505816
38356,Action Science Fiction Adventure,6.1,3299,Transformers: Dark of the Moon,moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger,6.408819195290952
217,Adventure Action,5.7,2495,Indiana Jones and the Kingdom of the Crystal Skull,saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology ,6.2358120030202
62177,Animation Adventure Comedy Family Action Fantasy,6.7,4641,Brave,scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d,6.774619213798768
188927,Action Adventure Science Fiction,6.6,2568,Star Trek Beyond,sequel stranded hatred space opera,6.751445110268639
10681,Animation Family,7.8,6296,WALL·E,romantic comedy,7.6108339562706195
14161,Action Adventure Science Fiction,5.6,4903,2012,civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction  of mankind,5.971692487300522
76757,Science Fiction Fantasy Action Adventure,5.2,2768,Jupiter Ascending,jupiter space woman director 3d interspecies romance,5.90360536077799
258489,Action Adventure,5.5,2430,The Legend of Tarzan,africa feral child tarzan jungle animal attack,6.130111454851404
411,Adventure Family Fantasy,6.7,2629,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairy-tale figure battle narnia fantasy world duringcreditsstinger,6.8082257541047895
246655,Science Fiction,6.4,4721,X-Men: Apocalypse,mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s,6.557790001202509
155,Drama Action Crime Thriller,8.2,12002,The Dark Knight,dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman,8.035690278741058
14160,Animation Comedy Family Adventure,7.7,6870,Up,age difference central and south america balloon animation floating in the air duringcreditsstinger exploring,7.5444131796756855
1726,Action Science Fiction Adventure,7.4,8776,Iron Man,middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson,7.324311099439227
44826,Adventure Drama Family,7.0,2141,Hugo,library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d,6.982903888497697
297761,Action Adventure Crime Fantasy Science Fiction,5.9,7458,Suicide Squad,dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe,6.110211235950231
137113,Action Science Fiction,7.6,4858,Edge of Tomorrow,deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton,7.42511912876885
14869,Adventure Action Thriller Science Fiction,5.6,1962,G.I. Joe: The Rise of Cobra,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra,6.259332631798689
150540,Drama Comedy Animation Family,8.0,6560,Inside Out,dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions,7.773000539851369
278927,Family Adventure Drama Fantasy,6.7,2892,The Jungle Book,based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals,6.802208636455212
10138,Adventure Action Science Fiction,6.6,6849,Iron Man 2,malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe,6.676815587389521
58595,Adventure Fantasy Drama,5.8,3118,Snow White and the Huntsman,queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress,6.23137110279391
102651,Fantasy Adventure Action Family Romance,7.0,4496,Maleficent,fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d,6.989259872109077
119450,Science Fiction Action Drama Thriller,7.3,4410,Dawn of the Planet of the Apes,leader colony post-apocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d,7.2008462540630775
100402,Action Adventure Science Fiction,7.6,5764,Captain America: The Winter Soldier,washington d.c. future shield marvel comic superhero based on comic book captain america aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d political thriller,7.445960188083728
10192,Comedy Adventure Fantasy Animation Family,6.0,1959,Shrek Forever After,ogre 3d,6.466205228284546
158852,Adventure Family Mystery Science Fiction,6.2,2846,Tomorrowland,inventor apocalypse destiny imax dreamer futuristic car futuristic city,6.4994380782784855
177572,Adventure Family Animation Action Comedy,7.8,6135,Big Hero 6,brother brother relationship hero talent revenge best friend another dimension robot boy genius hate aftercreditsstinger moral dilemma 3d teen superheroes dead brother,7.607014289247715
82690,Family Animation Comedy Adventure,7.1,4570,Wreck-It Ralph,support group product placement bullying racing arcade medal self esteem curiosity precocious child aftercreditsstinger duringcreditsstinger first person shooter glitch carefree video gamer q*bert interrupted wedding social reject,7.060696544205689
47933,Action Adventure Science Fiction,4.9,2491,Independence Day: Resurgence,alternate history alien invasion,5.77601231900211
10191,Fantasy Adventure Animation Family,7.5,4227,How to Train Your Dragon,flying blacksmith arena island night ship training village forest viking friendship ignorance flight nest dragon battle combat well warrior,7.337235422871984
296,Action Thriller Science Fiction,5.9,2143,Terminator 3: Rise of the Machines,saving the world artificial intelligence man vs machine cyborg killer robot sun glasses leather jacket nanotechnology rocket launcher firemen veterinarian fire engine dystopia psychiatrist,6.390834313027511
118340,Action Science Fiction Adventure,7.9,9742,Guardians of the Galaxy,marvel comic spaceship space outer space orphan adventurer aftercreditsstinger duringcreditsstinger marvel cinematic universe,7.751249329374438
157336,Adventure Drama Science Fiction,8.1,10867,Interstellar,saving the world artificial intelligence father son relationship single parent nasa expedition wormhole space travel famine black hole dystopia race against time quantum mechanics spaceship space rescue family relationships farmhouse robot astronaut scientist father daughter relationship single father farmer space station imax astrophysics zero gravity courage time paradox relativity,7.935481585301346
27205,Action Thriller Science Fiction Mystery Adventure,8.1,13752,Inception,loss of lover dream kidnapping sleep subconsciousness heist redemption female hero,7.965925680796371
49051,Adventure Fantasy Action,7.0,8297,The Hobbit: An Unexpected Journey,riddle elves dwarves orcs middle-earth (tolkien) hobbit mountains wizard journey ring goblin courage giant tunnel underground lake buried treasure climbing a tree invisibility ancient gnomes,6.993287658492781
9799,Action Crime Thriller,6.6,3428,The Fast and the Furious,street gang car race undercover auto-tuning los angeles car automobile racing aftercreditsstinger duringcreditsstinger,6.726714213483164
4922,Fantasy Drama Thriller Mystery Romance,7.3,3292,The Curious Case of Benjamin Button,diary navy funeral tea travel hospital,7.179238993818753
49538,Action Science Fiction Adventure,7.1,5181,X-Men: First Class,cia mutant mine marvel comic superhero based on comic book superhuman historical fiction nuclear war cuban missile crisis world war iii 1960s,7.0641176929492175
131634,Action Adventure Science Fiction,6.6,3984,The Hunger Games: Mockingjay - Part 2,revolution strong woman dystopia game of death 3d based on young adult novel,6.714613859214024
810,Fantasy Adventure Animation Comedy Family,6.0,2278,Shrek the Third,ambush sadness stage liberation of prisoners island traitor shipwreck prince ship donkey kingdom theatre play transformation conciliation tricks heir to the throne assault boarding school coup d'etat teacher best friend dragon cowardliness pregnancy capture duringcreditsstinger,6.4300767014594635
68735,Action Adventure Fantasy,6.3,2268,Warcraft,video game elves orcs magic chase based on comic book sorcerer fictional war based on video game wizard fictional language muscles orc sword and sorcery,6.596816611603286
87101,Science Fiction Action Thriller Adventure,5.8,3631,Terminator Genisys,saving the world artificial intelligence cyborg killer robot future time travel dystopia sequel fiction duringcreditsstinger 3d,6.19091083736566
1858,Adventure Science Fiction Action,6.6,4040,Transformers,destroy transformation alien based on toy transformers robot duringcreditsstinger teenage hero,6.713522001545954
675,Adventure Fantasy Family Mystery,7.4,5494,Harry Potter and the Order of the Phoenix,prophecy witch loss of lover magic cutting the cord child hero dying and death broom sorcerer's apprentice school of witchcraft black magic death of a friend sorcery occultism,7.290432564220138
674,Adventure Fantasy Family,7.5,5608,Harry Potter and the Goblet of Fire,magic dying and death broom sorcerer's apprentice school of witchcraft chosen one black magic boarding school vision tournament teenager wizard teenage hero based on young adult novel,7.367421537103531
8960,Fantasy Action,6.2,2961,Hancock,flying alcohol love of one's life forbidden love lovers affection advertising expert alcoholism invulnerability superhero pokies duringcreditsstinger,6.492263144119626
6479,Drama Horror Action Thriller Science Fiction,6.9,4853,I Am Legend,saving the world lost civilisation post-apocalyptic dystopia matter of life and death alone helplessness virus pandemic,6.9173069512938605
118,Adventure Comedy Family Fantasy,6.7,3624,Charlie and the Chocolate Factory,london england father son relationship chocolate factory worker based on novel parents kids relationship candy overweight child grandfather grandson relationship teacher,6.7885119606560735
2062,Animation Comedy Family Fantasy,7.5,4369,Ratatouille,paris brother brother relationship expensive restaurant river cook mouse confidence roof window leaving one's family work restaurant critic kitchen spice court cookbook family chef rat,7.340958812689328
272,Action Crime Drama,7.5,7359,Batman Begins,himalaya martial arts dc comics crime fighter secret identity undercover hero loss of father society gotham city vigilante superhero based on comic book rivalry tragic hero ninja good vs evil crime super powers haunted by the past evil doctor escapade master villain fighting crime unfulfillment love and romance unfulfilled love,7.392661810282007
18360,Adventure Fantasy Action Comedy Family,5.9,1971,Night at the Museum: Battle of the Smithsonian,museum theodore roosevelt duringcreditsstinger amelia earhart smithsonian,6.4129962025221126
2080,Adventure Action Thriller Science Fiction,6.2,4021,X-Men Origins: Wolverine,corruption mutant boxer army marvel comic superhero aftercreditsstinger duringcreditsstinger,6.439391018515161
605,Adventure Action Thriller Science Fiction,6.4,3096,The Matrix Revolutions,saving the world artificial intelligence man vs machine flying philosophy fortune teller kung fu underground world killer robot temple subway dream sun hero fight sunlight computer virus key future precognition super computer machine town ying yang dying and death virtual reality dystopia computer faith world religion truth rescue mission cyberpunk woman director yin yang gnosticism,6.609753512866353
109445,Animation Adventure Family,7.3,5295,Frozen,queen musical princess betrayal snowman animation reindeer curse snow troll mountain climber aftercreditsstinger woman director 3d,7.213147690286222
604,Adventure Action Thriller Science Fiction,6.7,3443,The Matrix Reloaded,saving the world artificial intelligence man vs machine martial arts kung fu underground world dream hero fight computer virus key future plato precognition rave dying and death virtual reality dystopia computer faith world religion truth mission cyberpunk woman director gnosticism,6.791545373175244
76338,Action Adventure Fantasy,6.8,4755,Thor: The Dark World,marvel comic superhero based on comic book hostile takeover norse mythology aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d asgard,6.845446618419591
76341,Action Adventure Science Fiction Thriller,7.2,9427,Mad Max: Fury Road,future chase post-apocalyptic dystopia australia rescue survival on the run convoy peak oil dark future,7.161322965353004
13448,Thriller Mystery,6.5,2129,Angels & Demons,rome vatican based on novel symbolism christian illuminati quantum mechanics prequel anti matter conspiracy investigator catholicism cern,6.7145404380419755
10195,Adventure Fantasy Action,6.6,6525,Thor,new mexico banishment shield marvel comic hammer superhero based on comic book redemption norse mythology aftercreditsstinger marvel cinematic universe 3d asgard odin heimdall,6.679791440549026
62213,Comedy Fantasy,5.7,2320,Dark Shadows,witch imprisonment vampire curse fish out of water chains gothic madness old house lost love angry mob 18th century ghost hidden room old mansion,6.2583608440476475
177677,Action Adventure Thriller,7.1,3224,Mission: Impossible - Rogue Nation,london england spy austria villain sequel mission conspiracy vienna opera vienna,7.050246470821691
49444,Animation Family,6.7,1880,Kung Fu Panda 2,martial arts hope fleet panda mission woman director,6.830025745989602
956,Adventure Action Thriller,6.5,2028,Mission: Impossible III,berlin cia vatican white house secret identity secret explosive mobile phone map traitor mask honeymoon shanghai pretended murder secret mission letter funeral covered investigation to shoot dead secret agent video stamp hard drive e-mail decipherment suitcase computer revenge murder mission hospital duel disguise celebration good and bad research laboratory blast,6.7201447687481215
117251,Action Drama Thriller,6.4,1891,White House Down,usa president conspiracy secret service the white house,6.67752660853964
652,Adventure Drama War,6.9,2759,Troy,brother brother relationship adultery mythology beauty trojan war bravery wall fraud hostility epic sword fight battlefield ancient world pyre ancient greece trojan horse trojan bronze age sparta greece helen of troy homer's iliad,6.925189832054582
43074,Action Fantasy Comedy,5.3,2142,Ghostbusters,female friendship ghost hunting reboot ghost,6.068075503438784
95,Action Thriller Science Fiction Adventure,6.4,2482,Armageddon,saving the world paris moon cataclysm asteroid self sacrifice nasa space marine loss of father daughter space wedding astronaut eiffel tower paris duringcreditsstinger disaster movie space centre,6.639562941831251
608,Action Adventure Comedy Science Fiction,6.0,3114,Men in Black II,saving the world secret identity sun glasses undercover space marine illegal immigration deportation new identity flying saucer light firearm alien fictional government agency,6.357476725201465
56292,Action Thriller Adventure,6.8,3972,Mission: Impossible - Ghost Protocol,fight sequel mission explosion broken arm imax nuclear threat,6.851570930381339
81188,Fantasy Animation Family,7.1,1922,Rise of the Guardians,dream santa claus nightmare easter bunny tooth fairy jack frost sandman duringcreditsstinger,7.033019820733894
616,Drama Action War History,7.3,1895,The Last Samurai,japan war crimes sense of guilt swordplay general samurai war veteran katana sword arms deal homeland emperor language barrier self-discovery mountain village foreign legion mercenary campaign commercial agreement insurgence leader war strategy gettysburg loss of husband slaughter soldier alcoholic u.s. soldier japanese army 19th century war trauma,7.134051463515222
147441,Adventure Drama Action,5.6,1921,Exodus: Gods and Kings,moses bible ancient egypt 3d ramses,6.266523310604813
13475,Science Fiction Action Adventure,7.4,4518,Star Trek,spacecraft teleportation space mission parachute time travel black hole supernova prequel warp speed futuristic warp engine romulans outer space vulcan alternate reality space opera reboot,7.273608919181886
557,Fantasy Action,6.8,5265,Spider-Man,loss of lover spider thanksgiving bad boss hostility marvel comic superhero pokies evil reference to superman goblin,6.842183705533651
82702,Fantasy Action Adventure Animation Comedy Family,7.6,3106,How to Train Your Dragon 2,father son relationship wife husband relationship sacrifice viking sequel rescue dragon mother son relationship death of husband warrior 3d,7.363151794735
13183,Action Mystery Science Fiction,7.0,2811,Watchmen,dc comics secret identity mass murder retirement based on comic book conspiracy nuclear war doomsday soviet masked vigilante doomsday clock red square death of superhero american president 1980s,6.985367517074835
72559,Adventure Action Science Fiction Thriller,5.4,3025,G.I. Joe: Retaliation,terror assassin secret technology missile warhead president rescue conspiracy explosion battle surveillance cobra,5.99082282639465
1771,Action Adventure Science Fiction,6.6,7047,Captain America: The First Avenger,new york usa world war ii nazis marvel comic superhero based on comic book nazi germany period drama brooklyn new york city captain america aftercreditsstinger marvel cinematic universe 3d,6.675103848322837
50620,Adventure Fantasy Drama Romance,6.1,2553,The Twilight Saga: Breaking Dawn - Part 2,vampire romance villainess super strength imprinting cross breed bloodsucker grudge vampire vs vampire chief of police dhampir forks washington wolf pack misinformation seeing the future fang vamp,6.461280624376676
1724,Science Fiction Action Adventure,6.1,3021,The Incredible Hulk,new york rio de janeiro marvel comic superhero based on comic book on the run fugitive super soldier tony stark virginia military hulk marvel cinematic universe angry bruce banner,6.426486342735263
281957,Western Drama Adventure Thriller,7.3,6396,The Revenant,father son relationship rape based on novel mountains winter grizzly bear wilderness frontier revenge murder native american survival bear snow violence animal death bear attack death of son based on true events fur trapper,7.224760484538974
44896,Animation Comedy Family Western Adventure,6.6,2051,Rango,sheriff nevada pet rango chameleon las vegas cactus terrarium construction site armadillo disillusionment,6.771576010152654
2503,Action Drama Mystery Thriller,7.3,2888,The Bourne Ultimatum,paris corruption madrid assassin based on novel europe prosecution dangerous false identity revelation government weapon interpol sequel conspiracy shootout espionage motorcycle violence foot chase moskow dark past langley virginia flashback chase on the roof security leak,7.168916666783966
9502,Adventure Animation Family Comedy,6.9,3145,Kung Fu Panda,china martial arts kung fu mentor snake restaurant shop strong woman bravery tiger turtle panda sensei anthropomorphism fighting ancient china monkey master destiny evil aftercreditsstinger monkey warrior noodle,6.9232386992590875
102899,Science Fiction Action Adventure,7.0,5880,Ant-Man,marvel comic superhero based on comic book aftercreditsstinger duringcreditsstinger marvel cinematic universe 3d,6.991185703499137
101299,Adventure Action Science Fiction,7.4,6495,The Hunger Games: Catching Fire,competition based on novel mentor secret factory television propaganda future dystopia alliance games president uprising sequel murder survival conspiracy rebellion blood female protagonist tournament explosion danger imax winner based on young adult novel,7.3035936993169335
74,Adventure Thriller Science Fiction,6.2,2322,War of the Worlds,post traumatic stress  disorder new jersey airplane dystopia daughter apocalypse alien invasion human subjugation,6.537152132940999
27576,Action Mystery Thriller,6.2,2093,Salt,assassination spy cia kidnapping cold war soviet union double agent race against time revenge on the run shootout espionage female protagonist hitwoman terrorism violence russian spy intelligence officer action heroine,6.556790897361687
86834,Drama Adventure,5.6,2350,Noah,bible god noah 3d,6.198254162421864
17578,Adventure Animation Mystery,6.7,2061,The Adventures of Tintin,riddle captain treasure liquor treasure hunt sunken treasure plot reporter 3d action,6.823990289246483
673,Adventure Fantasy Family,7.7,5877,Harry Potter and the Prisoner of Azkaban,flying traitor magic cutting the cord child hero broom sorcerer's apprentice school of witchcraft griffon black magic time travel best friend werewolf dark muggle aftercreditsstinger,7.524388590855656
82700,Science Fiction Action Adventure,5.0,2532,After Earth,dystopia,5.825729391791995
181533,Adventure Comedy Fantasy Family,6.1,1851,Night at the Museum: Secret of the Tomb,night watchman museum natural history history smithsonian,6.5300232378944365
38055,Animation Action Comedy Family Science Fiction,6.7,1918,Megamind,saving the world date prison secret identity fish gun dna mayor anti hero rain museum one-sided love serum talking animal reporter duringcreditsstinger stronger villain,6.828710396626486
671,Adventure Fantasy Family,7.5,7006,Harry Potter and the Philosopher's Stone,witch christmas party magic cutting the cord halloween child hero broom chosen one frog fantasy world based on young adult novel,7.388377700453138
22,Adventure Fantasy Action,7.5,6985,Pirates of the Caribbean: The Curse of the Black Pearl,exotic island blacksmith east india trading company gold marriage proposal mutiny jamaica skeleton daughter governor wooden eye gold coin pirate alcoholic swashbuckler caribbean aftercreditsstinger pirate ship capuchin monkey tortuga,7.388112035483797
131631,Science Fiction Adventure Thriller,6.6,5584,The Hunger Games: Mockingjay - Part 1,resistance post-apocalyptic dystopia war sequel female protagonist bow and arrow game future war revolt class prejudice human subjugation based on young adult novel,6.689907271756808
591,Thriller Mystery,6.5,2704,The Da Vinci Code,paris holy grail christianity monk based on novel zurich secret society louvre curator symbologist opus dei heresy mona lisa freemason conspiracy pentagram tomb catholicism cryptologist iconography albino sect,6.6873828227121646
36658,Adventure Action Science Fiction Thriller,6.8,3506,X2,mutant marvel comic superhero based on comic book superhuman,6.856067609813587
51497,Action Thriller Crime,7.1,2438,Fast Five,brazil fbi freedom escape from prison car crash heist organized crime on the run money fugitive police chase escaped convict car imax automobile racing duringcreditsstinger,7.041101799150625
58574,Adventure Action Crime Mystery,7.0,3886,Sherlock Holmes: A Game of Shadows,detective inspector steampunk criminal mastermind,6.988115389191485
18823,Adventure Fantasy Action,5.6,2233,Clash of the Titans,hades mythology greek mythology zeus medusa mythological beast sea monster perseus kraken gods ancient greece based on greek myth 3d,6.215446218472205
49040,Action Thriller,6.0,2651,The Bourne Legacy,assassin wolf maryland suicide by gunshot rooftop exploding house laptop tracking device fake id seoul south korea pharmaceutical lab government conspiracy roof chase manila philippines hunted false passport alberta canada lieutenant general,6.394343951059771
435,Action Adventure Science Fiction Thriller,6.2,2392,The Day After Tomorrow,saving the world library cataclysm climate change greenhouse effect tornado twister hurricane hail temperature drop ice age polar zone meteorology gulfstream barrier ice ice melting third world exodus evacuation climate government snow los angeles scientist doomsday antarctic disaster movie,6.5315733107714955
955,Adventure Action Thriller,5.9,1928,Mission: Impossible II,terror spain cia helicopter secret identity skyscraper undercover island ex-lover secret mission dying and death secret agent computer duel lethal virus violence rescue team agent car research laboratory,6.418852945488459
1979,Adventure Fantasy Action Thriller,5.4,2589,Fantastic 4: Rise of the Silver Surfer,fire helicopter surfboard mask satellite airplane transformation forest resurrection marvel comic sequel superhero based on comic book outer space wedding explosion scientist interrogation double cross fantastic four military earth in peril superhuman strength duringcreditsstinger invisibility silver surfer forcefield elasticity absorbing power,6.049005676895636
87827,Adventure Drama Action,7.2,5797,Life of Pi,ocean shipwreck hindu tiger faith zookeeper teenage boy cargo ship lifeboat injured animal,7.142935240313243
